,epoch,train_loss,val_loss
0,1.0,0.021078190468402525,0.00436136798763817
1,2.0,0.0020933982617538024,0.0008190606218043037
2,3.0,0.0006476618028290642,0.0004798762397099794
3,4.0,0.00040773499707209685,0.0003298557813236998
4,5.0,0.00024178776584449224,0.0001966747443392788
5,6.0,0.0001543611393969738,0.00013362705424449153
6,7.0,0.00012185989734377365,0.00011298154435776682
7,8.0,0.0001042111855376015,0.00010239697558890012
8,9.0,9.53754166874404e-05,9.359573291889815e-05
9,10.0,8.865233758851643e-05,8.6147916028329e-05
10,11.0,8.395013050883179e-05,8.188695352476894e-05
11,12.0,7.742521174363146e-05,8.320644083141815e-05
12,13.0,7.320471276831189e-05,7.78788902111542e-05
13,14.0,6.91815033499769e-05,6.932257773852061e-05
14,15.0,6.818601382163524e-05,7.65649099114605e-05
15,16.0,6.713782969468908e-05,7.745206729106774e-05
16,17.0,6.40986017380989e-05,6.656205779026178e-05
17,18.0,6.215587926990595e-05,6.544181871339044e-05
18,19.0,6.033114470984044e-05,6.054029406434645e-05
19,20.0,5.9716853546140683e-05,6.209951582356801e-05
20,21.0,5.849743888483122e-05,5.677005453683457e-05
21,22.0,5.715836844571571e-05,5.654669909166511e-05
22,23.0,5.53176818806539e-05,5.7864060380035716e-05
23,24.0,5.407668125184066e-05,5.372042042753574e-05
24,25.0,5.3884840254843434e-05,5.403795155209743e-05
25,26.0,5.2798149260013134e-05,5.2113179200122515e-05
26,27.0,5.184579156422238e-05,5.016725411802657e-05
27,28.0,5.0780555979299646e-05,6.243729681459214e-05
28,29.0,5.110487346549783e-05,5.0906830355498556e-05
29,30.0,4.852101077675418e-05,4.841798135285816e-05
30,31.0,4.774198260942808e-05,4.718003876240056e-05
31,32.0,4.7160921651805916e-05,5.17466892647049e-05
32,33.0,4.748268749262418e-05,4.416608709024414e-05
33,34.0,4.5111277622230484e-05,5.046762754235798e-05
34,35.0,4.5227926862780766e-05,4.357677758393534e-05
35,36.0,4.395155206535116e-05,4.754196523373883e-05
36,37.0,4.45148011970482e-05,5.7844312885374e-05
37,38.0,4.283428189789451e-05,3.9249232759175354e-05
38,39.0,4.1436949487776036e-05,3.9957118001025675e-05
39,40.0,4.036308532133689e-05,4.014192109025316e-05
40,41.0,3.961768624531732e-05,3.696464798188324e-05
41,42.0,3.8046757810057925e-05,3.7727197592506525e-05
42,43.0,3.741959256014363e-05,4.04531944117149e-05
43,44.0,3.615873441616242e-05,3.350703435981731e-05
44,45.0,3.454044631068063e-05,3.854469587994655e-05
45,46.0,3.3900721853492525e-05,3.129215590227184e-05
46,47.0,3.2043378867360605e-05,3.175700032277911e-05
47,48.0,3.1639654271423673e-05,3.2645364312470934e-05
48,49.0,3.011068695526008e-05,2.98339164146455e-05
