,epoch,train_loss,val_loss
0,1.0,0.2663057783165039,0.003719725758336218
1,2.0,0.002736806568086804,0.0015718096869282558
2,3.0,0.0009951214896881755,0.0006280995237050645
3,4.0,0.00044462136134963936,0.00032189065417956693
4,5.0,0.00022408001335540842,0.00014862195030218572
5,6.0,0.000101142091867707,7.162812231139728e-05
6,7.0,5.699240604944187e-05,5.148394409713676e-05
7,8.0,4.378194713164324e-05,3.97935596327313e-05
8,9.0,3.639680702697675e-05,4.004146740044234e-05
9,10.0,3.2096700140788084e-05,3.316718328960633e-05
10,11.0,2.9187158325768762e-05,3.0863865650384727e-05
11,12.0,2.7490770717231717e-05,2.6606150096800514e-05
12,13.0,2.8183138647637497e-05,3.673236593775593e-05
13,14.0,2.6090383859676612e-05,3.3811429148045136e-05
14,15.0,2.7680796533157824e-05,2.812145351072104e-05
15,16.0,2.590126318508936e-05,2.580485482894801e-05
16,17.0,2.5868885166415704e-05,2.4349015818968057e-05
17,18.0,2.4810874435273717e-05,2.287651081392791e-05
18,19.0,2.4382055106978803e-05,2.509655732702803e-05
19,20.0,2.539511588785429e-05,2.768387041994304e-05
20,21.0,2.3778811557899837e-05,3.079253065152443e-05
21,22.0,2.4731051280377687e-05,3.2340752690223394e-05
22,23.0,2.393780619560041e-05,2.4756936495253156e-05
23,24.0,2.2945880386568366e-05,2.7682073680677733e-05
24,25.0,2.1508051214188165e-05,2.083714132693006e-05
25,26.0,1.8711569287926998e-05,1.8255874481708035e-05
26,27.0,1.4243741502979104e-05,1.7428127364382817e-05
27,28.0,1.2723736970424845e-05,1.784982169640768e-05
28,29.0,1.1749458938945185e-05,1.6101682518865346e-05
29,30.0,1.1367632070034748e-05,1.3421053994631751e-05
30,31.0,9.950427191412557e-06,1.1165389161809408e-05
31,32.0,1.0653883799465779e-05,1.0182806895337698e-05
32,33.0,1.0146879097744399e-05,1.0426927766664968e-05
33,34.0,9.510599137162766e-06,1.0391484116618293e-05
34,35.0,9.320901974392117e-06,1.0946320508813706e-05
35,36.0,9.789566004479285e-06,1.1664614735959081e-05
36,37.0,8.724896295102744e-06,1.0810346606961372e-05
37,38.0,8.423030543825094e-06,1.0366095273590353e-05
38,39.0,8.787297099320176e-06,1.78946959944629e-05
39,40.0,7.78504953288433e-06,1.127421388348791e-05
40,41.0,7.69438391219871e-06,1.0862827922762466e-05
41,42.0,8.511813389614582e-06,1.1453904245887056e-05
42,43.0,7.986372661967992e-06,9.290090456407338e-06
43,44.0,7.496658794961202e-06,1.0740547168097692e-05
44,45.0,7.685452075605724e-06,8.238519179875376e-06
45,46.0,7.57671329026921e-06,1.1062650531000275e-05
46,47.0,7.457517893181649e-06,1.1246477859978249e-05
47,48.0,6.830612865123912e-06,1.030611127004834e-05
48,49.0,6.8537632120673e-06,7.911205086332171e-06
49,50.0,6.882060602776277e-06,7.326563062650036e-06
50,51.0,6.792874633484718e-06,8.05621475105259e-06
51,52.0,6.701773574895596e-06,7.233265183767149e-06
52,53.0,7.014223137547649e-06,9.387101804187686e-06
53,54.0,6.876768625038048e-06,1.3348405535193056e-05
54,55.0,6.9415994560217945e-06,1.0799954834185752e-05
55,56.0,5.867790112840188e-06,8.14076897727643e-06
56,57.0,6.190957845229424e-06,1.5431530917859554e-05
57,58.0,6.988578250886297e-06,1.01396063761123e-05
58,59.0,5.739063524429467e-06,1.86634665461887e-05
59,60.0,6.193608763470969e-06,7.883084433858909e-06
60,61.0,5.986694788761614e-06,6.628363693599633e-06
61,62.0,6.002438047272301e-06,6.575702914497177e-06
62,63.0,6.185119289881926e-06,6.659173053995866e-06
63,64.0,5.377514690780662e-06,6.651802248062008e-06
64,65.0,5.036520360727355e-06,7.2656903690975535e-06
65,66.0,5.589203153045721e-06,9.062487269570088e-06
66,67.0,5.741876540394365e-06,6.735655622337942e-06
67,68.0,7.3008298464215925e-06,6.951015566057452e-06
68,69.0,5.191464700585096e-06,8.02638092116987e-06
69,70.0,5.3332499563172075e-06,6.816421473234056e-06
70,71.0,5.112117754563228e-06,6.824696964510427e-06
71,72.0,5.290746606603674e-06,7.13141428272073e-06
72,73.0,6.181086186318941e-06,6.559109913999757e-06
73,74.0,4.767947080049699e-06,6.9612806957560935e-06
74,75.0,5.276352756405532e-06,9.599751747048555e-06
75,76.0,5.047753357265189e-06,8.963975797574416e-06
76,77.0,5.0145755659844535e-06,6.766505494835785e-06
77,78.0,4.495146906968372e-06,6.118868832061253e-06
78,79.0,5.21367495255623e-06,6.362650405021343e-06
79,80.0,4.977144396855169e-06,6.346547953585611e-06
80,81.0,4.2678895825990945e-06,6.849217746613638e-06
81,82.0,5.270218543115017e-06,9.529648285219342e-06
82,83.0,5.152845728869174e-06,7.020420820172798e-06
83,84.0,4.193656540060047e-06,5.879176333830774e-06
84,85.0,4.625243963096136e-06,6.514623961046644e-06
85,86.0,5.3677820147697385e-06,7.459861143794504e-06
86,87.0,4.286217205162757e-06,5.882029429114612e-06
87,88.0,4.6108053220496095e-06,6.079496159320083e-06
88,89.0,5.517914609457281e-06,5.932817171380325e-06
89,90.0,4.210038205982727e-06,1.1617064550201966e-05
90,91.0,5.270827954288957e-06,7.078421108173773e-06
91,92.0,3.909252102321097e-06,1.0030746925134995e-05
92,93.0,5.2291888642755255e-06,6.02026628269771e-06
93,94.0,4.1925959065676345e-06,6.1594191649305685e-06
94,95.0,4.254632287683706e-06,7.244391369454206e-06
95,96.0,4.296445489829554e-06,6.673651048418248e-06
96,97.0,4.526683546671078e-06,5.969304602615466e-06
97,98.0,4.811378949524422e-06,1.0367613429350189e-05
98,99.0,4.678179623771323e-06,7.195354490769594e-06
99,100.0,4.7098608828713155e-06,6.831539006871676e-06
