,epoch,train_loss,val_loss
0,1.0,0.016876743882204646,0.0006241397507879077
1,2.0,0.00028304327052137003,0.00017156129578737184
2,3.0,0.0001606510835326611,0.0001823294644514767
3,4.0,0.00012916021580240133,9.9297472588494e-05
4,5.0,0.00011239604268161605,0.00011775830820529533
5,6.0,9.361434892818522e-05,0.00018572034577137402
6,7.0,7.97531951984042e-05,5.7336463066467185e-05
7,8.0,7.162853633344846e-05,6.517719736739164e-05
8,9.0,6.0275539495975225e-05,4.9611163788816125e-05
9,10.0,4.774299342407279e-05,3.810062134747452e-05
10,11.0,4.357734290939992e-05,3.39586500084224e-05
11,12.0,4.1482127487422705e-05,4.558457114651814e-05
12,13.0,3.8769291564738865e-05,2.7382095144781315e-05
13,14.0,3.6195670267950695e-05,2.391224339371775e-05
14,15.0,3.431654568247855e-05,3.764970766488558e-05
15,16.0,3.369176181979615e-05,3.631133674113733e-05
16,17.0,3.13461623132504e-05,2.266831456851909e-05
17,18.0,3.0545374922175506e-05,2.3353804113838224e-05
18,19.0,2.8999267083611908e-05,2.508071349712448e-05
19,20.0,2.697491148326771e-05,2.767440884267744e-05
20,21.0,2.5578883628246628e-05,2.58411123416456e-05
21,22.0,2.3048349305262934e-05,3.076945901360108e-05
22,23.0,2.2417270949752342e-05,1.4035100973910267e-05
23,24.0,2.0692400833181806e-05,1.3425020060324916e-05
24,25.0,2.077196367837881e-05,1.686786925695458e-05
25,26.0,1.8656360414083752e-05,1.2067810359635824e-05
26,27.0,1.8601044788520708e-05,1.3442251679459284e-05
27,28.0,1.6995028824322407e-05,2.2442498937003095e-05
28,29.0,1.6700624166463854e-05,1.0086461537108595e-05
29,30.0,1.60427974549779e-05,9.576754874979917e-06
30,31.0,1.5255195930543042e-05,8.953140068938834e-06
31,32.0,1.4525202540065937e-05,8.441733795189895e-06
32,33.0,1.3800886047092356e-05,1.669475307852547e-05
33,34.0,1.3701025906236755e-05,6.3944546699389285e-06
34,35.0,1.2333332752805447e-05,1.6319700273910762e-05
35,36.0,1.2724349824629644e-05,1.3793086188274928e-05
36,37.0,1.1964681206151269e-05,1.0117935146649507e-05
37,38.0,1.0621907384444495e-05,1.2014423772813555e-05
38,39.0,9.82666128418473e-06,7.564135133854014e-06
39,40.0,1.0567070049262222e-05,1.925815708306711e-05
40,41.0,9.17790614753267e-06,8.78474995399865e-06
41,42.0,8.78590110873174e-06,1.0308464294141733e-05
42,43.0,9.53575831327114e-06,4.793595739736864e-06
43,44.0,8.50976611141594e-06,4.624305336915986e-06
44,45.0,8.458744452807106e-06,7.152973992059512e-06
45,46.0,8.335785472345404e-06,1.6960925837827367e-05
46,47.0,7.602665602282281e-06,8.998259802892437e-06
47,48.0,7.291553011663332e-06,7.511551422902313e-06
48,49.0,7.464699688413206e-06,6.6625893035120655e-06
49,50.0,7.349070572548269e-06,8.132385282246983e-06
50,51.0,7.011263116615178e-06,2.1358219445302524e-05
51,52.0,7.136802490828795e-06,8.167644286685963e-06
52,53.0,7.23530409162585e-06,6.75779603784939e-06
53,54.0,6.773319717393358e-06,7.3700351225405e-06
54,55.0,6.917673519321781e-06,9.434074917840992e-06
55,56.0,6.48634571674824e-06,3.4529005763167264e-06
56,57.0,6.573786171414451e-06,4.708589262338307e-06
57,58.0,6.461499121846284e-06,6.584800729764132e-06
58,59.0,6.333989640315875e-06,2.873536856573797e-06
59,60.0,5.989796168629861e-06,5.898935622954718e-06
60,61.0,5.836631637199075e-06,4.55114077485135e-06
61,62.0,6.063992468661285e-06,4.634119304755337e-06
62,63.0,5.6322023006741725e-06,3.123808980862017e-06
63,64.0,5.742475743389952e-06,5.728260298600781e-06
64,65.0,5.790341457452509e-06,4.156572410630446e-06
65,66.0,5.743601004320794e-06,8.181223318384076e-06
66,67.0,5.539162749889401e-06,3.294244791391842e-06
67,68.0,5.2550214505514855e-06,8.630971328520507e-06
68,69.0,5.808512816816734e-06,3.977598794594758e-06
69,70.0,4.77336747206454e-06,4.872173034826136e-06
